"name"	"Gaia15ado"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"discoverday"	"14"
"discovermonth"	"3"
"discoveryear"	"2015"
"maxday"	"15"
"maxmonth"	"3"
"maxyear"	"2015"
"sndec"	"-50.72458"
"snra"	"347.09059"
"photometry"	"timeunit"	"MJD"	"time"	"57095.991"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"17.45"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57096.167"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"17.38"	"source"	"1"
