"name"	"LSQ15mj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7102'>ATEL 7102</a>"	"alias"	"2"
"aliases"	"LSQ15mj,PS15ze"
"claimedtype"	"II"
"discoverday"	"15"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"2"
"discoveryear"	"2015"
"host"	"MCG -2-40-1"
"maxday"	"15"
"maxmonth"	"2"
"maxyear"	"2015"
"redshift"	"0.024"
"sndec"	"-15:16:54.3"
"snra"	"15:32:52.11"
"photometry"	"timeunit"	"MJD"	"time"	"57068.5"	"abmag"	"18.9"	"source"	"2,1"
