"name"	"SN in MACSJ1423"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4778'>ATEL 4778</a>"	"alias"	"2"
"aliases"	"SN in MACSJ1423"
"claimedtype"	"Ia"
"discoverday"	"18"
"discoverer"	"HST"
"discovermonth"	"1"
"discoveryear"	"2013"
"maxday"	"18"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.545"
"sndec"	"+24:04:33.3"
"snra"	"14:23:47.62"
"photometry"	"timeunit"	"MJD"	"time"	"56310.5"	"abmag"	"22.8"	"source"	"2,1"
