"name"	"SN2003cp"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"Ia?"
"discoverday"	"30"
"discoverer"	"Armstrong"
"discovermonth"	"3"
"discoveryear"	"2003"
"galdec"	"+574107"
"galra"	"080911"
"host"	"M+10-12-78"
"hvel"	"5927"
"maxday"	"30"
"maxmonth"	"3"
"maxyear"	"2003"
"redshift"	"0.02"
"sndec"	"+574114.0"
"snra"	"080911.13"
"photometry"	"timeunit"	"MJD"	"time"	"52728.86"	"band"	"C"	"abmag"	"16.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52729.78"	"band"	"C"	"abmag"	"16.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52730.86"	"band"	"C"	"abmag"	"16.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52731.85"	"band"	"C"	"abmag"	"16.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52733.84"	"band"	"C"	"abmag"	"16.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52733.92"	"band"	"C"	"abmag"	"16.6"	"source"	"1,2"
