"name"	"SN2007lm"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"3"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+003747"
"galra"	"031340"
"host"	"A031340+0037"
"hvel"	"56500"
"maxday"	"3"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.21"
"sndec"	"+003747.9"
"snra"	"031340.44"
"photometry"	"timeunit"	"MJD"	"time"	"54376.0"	"band"	"g"	"abmag"	"21.4"	"source"	"1"
