"name"	"SN2011U"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002649.txt'>CBET 2649</a>"	"alias"	"2"
"aliases"	"SN2011U,PSN J04133394+2732367"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"LOSS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+273230"
"galra"	"041333"
"host"	"UGC 2985"
"hvel"	"3909"
"maxday"	"27"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.0134"
"sndec"	"+27:32:36.7"
"snra"	"04:13:33.93"
"photometry"	"timeunit"	"MJD"	"time"	"55588.5"	"abmag"	"15.9"	"source"	"2,1"
