# CSP Optical + NIR data for SN2004ef
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.029771	  RA = 22:42:10.08	 DEC = +19:59:40.56
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53255.15693	99.900	99.900	17.981	0.006	17.885	0.011	17.868	0.005	17.803	0.005	18.016	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53256.12505	18.429	0.014	17.754	0.007	17.664	0.007	17.652	0.005	17.586	0.007	17.762	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53257.13522	18.210	0.011	17.558	0.007	17.482	0.007	17.458	0.005	17.400	0.005	17.585	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53258.11285	18.069	0.013	17.419	0.009	17.341	0.005	17.310	0.004	17.249	0.005	17.441	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53259.10960	17.980	0.013	17.279	0.005	17.212	0.005	17.183	0.004	17.122	0.005	17.360	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53260.11881	17.898	0.006	17.188	0.003	17.114	0.003	17.083	0.003	17.021	0.003	17.331	0.006	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53261.08175	17.847	0.012	17.117	0.006	17.035	0.006	17.010	0.005	16.956	0.007	17.315	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53262.05622	17.875	0.022	17.086	0.005	16.994	0.004	16.973	0.004	16.901	0.004	17.330	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53263.07823	17.868	0.013	17.064	0.007	16.954	0.007	16.937	0.007	16.864	0.009	17.346	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53264.08895	17.903	0.012	17.058	0.005	16.925	0.007	16.927	0.005	16.826	0.007	17.376	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53265.13585	17.976	0.012	17.090	0.005	16.912	0.006	16.937	0.004	16.807	0.005	17.368	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53266.11110	18.045	0.013	17.111	0.004	16.919	0.004	16.960	0.004	16.805	0.004	17.373	0.007	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53267.10442	18.172	0.016	17.154	0.006	16.933	0.007	17.005	0.006	16.826	0.007	17.372	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53268.11534	18.286	0.013	17.222	0.005	16.957	0.004	17.039	0.006	16.840	0.008	17.428	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53269.09396	99.900	99.900	17.322	0.009	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	17.606	0.031	17.977	0.053	18.043	0.101	17.515	0.114
53270.08416	99.900	99.900	17.384	0.003	17.017	0.003	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53271.08196	18.698	0.027	17.480	0.007	17.066	0.006	17.238	0.006	17.027	0.005	17.689	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53272.12933	18.698	0.029	17.587	0.008	17.127	0.007	17.330	0.007	17.108	0.006	17.838	0.012	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53273.16648	18.896	0.040	17.713	0.010	17.192	0.008	17.425	0.008	17.183	0.008	17.909	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53274.11662	19.091	0.050	17.822	0.013	17.274	0.008	17.506	0.010	17.241	0.009	17.976	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53275.15802	19.119	0.081	17.933	0.016	17.329	0.012	17.631	0.014	17.327	0.011	18.017	0.019	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53276.11428	19.351	0.104	18.099	0.012	17.411	0.014	17.720	0.012	17.357	0.011	18.043	0.020	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53277.08465	19.446	0.092	18.194	0.018	17.475	0.012	17.830	0.015	17.367	0.017	18.035	0.027	17.784	0.025	18.710	0.049	17.796	0.040	17.354	0.096
53278.09321	19.624	0.063	18.324	0.016	17.556	0.011	17.952	0.013	17.426	0.010	18.001	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53279.10095	19.718	0.057	18.497	0.016	17.617	0.009	18.074	0.009	17.450	0.009	17.965	0.015	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53280.09097	20.007	0.052	18.617	0.016	17.695	0.009	18.195	0.008	17.459	0.007	17.939	0.012	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53281.07873	20.070	0.036	18.750	0.011	17.778	0.008	18.311	0.007	17.482	0.008	17.901	0.011	17.518	0.011	18.426	0.023	17.709	0.023	17.294	0.040
53282.07245	20.236	0.044	99.900	99.900	99.900	99.900	18.415	0.009	17.499	0.008	17.887	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53287.09229	20.714	0.066	19.353	0.013	18.167	0.008	18.929	0.010	17.695	0.005	17.801	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53289.10146	20.816	0.051	19.564	0.014	18.361	0.009	19.125	0.005	17.837	0.006	17.859	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53290.08927	20.951	0.088	19.633	0.022	18.437	0.010	19.230	0.010	17.947	0.006	17.946	0.008	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53291.07325	20.941	0.060	19.710	0.018	18.530	0.010	19.286	0.011	18.029	0.007	18.053	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53292.07637	20.981	0.087	19.812	0.020	18.621	0.011	19.341	0.012	18.108	0.006	18.133	0.010	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53294.07510	21.139	0.084	19.904	0.019	18.757	0.010	19.494	0.010	18.262	0.009	18.325	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53295.10402	21.122	0.065	19.941	0.018	18.842	0.010	19.549	0.011	18.325	0.008	18.403	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53298.05545	21.355	0.104	99.900	99.900	99.900	99.900	19.673	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53300.07439	21.200	0.185	20.123	0.036	19.029	0.016	19.789	0.022	18.540	0.010	18.703	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53301.05999	99.900	99.900	20.119	0.071	19.095	0.025	19.795	0.029	18.593	0.012	18.747	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53302.07517	21.465	0.423	20.231	0.080	19.082	0.027	19.784	0.034	18.604	0.013	18.845	0.015	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
